FC_ID,ID,Target_Month,Create_Month,Model,StatFC,Actual,JudgmFC,Stat_IND,Man_IND,StatMan_IND,Product_Group,Price_Index,Launch_Date,Launch_Month,Launch_Year,Create_CalMonth,Create_Year,Target_CalMonth,Target_Year,Lead_Time,Product_Age,APE_Stat,APE_Judgm,APE_Stat_Shift,APE_Judgm_shift,APE_STAT_LOG,APE_Judgm_LOG,target_year_shift
20,10003,201703,201609,SHORT ShiftLevel,306,78,204,1,1,11,3,137,201606,6,2016,9,2016,3,2017,6,9,292.3,161.5,292.3,161.5,5.6778069883,5.0847432662,8
30,10003,201704,201701,SHORT ShiftLevel,181,62,81,1,1,11,3,137,201606,6,2016,1,2017,4,2017,3,10,191.9,30.6,191.9,30.6,5.2571592941,3.4224747801,8
62,10004,201109,201108,LONG DownTrend,194,529,307,1,1,11,5,174,198407,7,1984,8,2011,9,2011,1,120,63.3,42.0,63.3,42.0,4.148312286,3.736859136,2
64,10004,201110,201107,LONG DownTrend,183,491,311,1,1,11,5,174,198407,7,1984,7,2011,10,2011,3,120,62.7,36.7,62.7,36.7,4.1388258412,3.6016829091,2
65,10004,201110,201108,LONG DownTrend,232,491,304,1,1,11,5,174,198407,7,1984,8,2011,10,2011,2,120,52.7,38.1,52.7,38.1,3.9655541199,3.639834675,2
96,10008,201701,201611,SHORT XT,1836,6959,2947,1,1,11,3,46,201612,12,2016,11,2016,1,2017,2,1,73.6,57.7,73.6,57.7,4.2988746051,4.0544242702,8
102,10008,201706,201704,SHORT ShiftLevel,3101,1141,1153,1,1,11,3,46,201612,12,2016,4,2017,6,2017,2,6,171.8,1.1,171.8,1.1,5.1462095884,0.0504164859,8
103,10008,201706,201705,SHORT ShiftLevel,2618,1141,1099,1,1,11,3,46,201612,12,2016,5,2017,6,2017,1,6,129.4,3.7,129.4,3.7,4.8632781187,1.3031794544,8
114,10008,201709,201704,SHORT ShiftLevel,2071,702,1412,1,1,11,3,46,201612,12,2016,4,2017,9,2017,5,9,195.0,101.1,195.0,101.1,5.2730726073,4.616501752,8
120,10008,201710,201705,SHORT ShiftLevel,1887,635,1054,1,1,11,3,46,201612,12,2016,5,2017,10,2017,5,10,197.2,66.0,197.2,66.0,5.2840427388,4.189416107,8
125,10008,201711,201705,SHORT ShiftLevel,2182,3003,1540,1,1,11,3,46,201612,12,2016,5,2017,11,2017,6,11,27.3,48.7,27.3,48.7,3.3083262275,3.886047519,8
152,10009,201502,201411,SHORT ShiftLevel,847,905,933,1,1,11,3,234,201407,7,2014,11,2014,2,2015,3,7,6.4,3.1,6.4,3.1,1.8576782528,1.1294397525,6
171,10009,201505,201412,SHORT ShiftLevel,1075,1512,1258,1,1,11,3,234,201407,7,2014,12,2014,5,2015,5,10,28.9,16.8,28.9,16.8,3.3639148243,2.8213158963,6
177,10009,201506,201410,SHORT ShiftLevel,1308,711,1138,1,1,11,3,234,201407,7,2014,10,2014,6,2015,8,11,84.0,60.1,84.0,60.1,4.4304148696,4.0952817694,6
193,10009,201508,201503,SHORT ShiftLevel,486,1091,941,1,1,11,3,234,201407,7,2014,3,2015,8,2015,5,13,55.5,13.7,55.5,13.7,4.0155486582,2.6209554943,6
195,10009,201508,201505,SHORT ShiftLevel,659,1091,923,1,1,11,3,234,201407,7,2014,5,2015,8,2015,3,13,39.6,15.4,39.6,15.4,3.6787457884,2.7342841796,6
198,10009,201509,201501,SHORT ShiftLevel,743,921,778,1,1,11,3,234,201407,7,2014,1,2015,9,2015,8,14,19.3,15.5,19.3,15.5,2.9614937,2.74255478,6
199,10009,201509,201502,SHORT ShiftLevel,713,921,754,1,1,11,3,234,201407,7,2014,2,2015,9,2015,7,14,22.6,18.1,22.6,18.1,3.1172482294,2.8977039621,6
208,10009,201510,201504,SHORT ShiftLevel,767,773,800,1,1,11,3,234,201407,7,2014,4,2015,10,2015,6,15,0.8,3.5,0.8,3.5,-0.253349393,1.2507280034,6
225,10009,201512,201504,SHORT ShiftLevel,858,521,760,1,1,11,3,234,201407,7,2014,4,2015,12,2015,8,17,64.7,45.9,64.7,45.9,4.1695030746,3.8258836962,6
229,10009,201512,201509,SHORT ShiftLevel,919,521,751,1,1,11,3,234,201407,7,2014,9,2015,12,2015,3,17,76.4,44.1,76.4,44.1,4.3358721495,3.7874994532,6
323,10020,201209,201205,SHORT ShiftLevel,100,3551,905,1,1,11,3,93,201205,5,2012,5,2012,9,2012,4,4,97.2,74.5,97.2,74.5,4.5766049761,4.3109899977,3
325,10020,201209,201207,SHORT ShiftLevel,3463,3551,3439,1,1,11,3,93,201205,5,2012,7,2012,9,2012,2,4,2.5,3.2,2.5,3.2,0.9075224675,1.1486845243,3
329,10020,201210,201207,SHORT ShiftLevel,2443,3980,3129,1,1,11,3,93,201205,5,2012,7,2012,10,2012,3,5,38.6,21.4,38.6,21.4,3.6537208312,3.0625452163,3
343,10020,201212,201210,SHORT ShiftLevel,2817,4256,3533,1,1,11,3,93,201205,5,2012,10,2012,12,2012,2,7,33.8,17.0,33.8,17.0,3.5207888619,2.8324943771,3
349,10020,201301,201209,SHORT ShiftLevel,3512,5801,3426,1,1,11,3,93,201205,5,2012,9,2012,1,2013,4,8,39.5,40.9,39.5,40.9,3.6752549105,3.712137307,4
350,10020,201301,201210,SHORT ShiftLevel,3427,5801,3633,1,1,11,3,93,201205,5,2012,10,2012,1,2013,3,8,40.9,37.4,40.9,37.4,3.7117161657,3.6209449531,4
354,10020,201302,201206,SHORT ShiftLevel,1845,4452,3828,1,1,11,3,93,201205,5,2012,6,2012,2,2013,8,9,58.6,14.0,58.6,14.0,4.0700168875,2.640211842,4
410,10020,201307,201304,SHORT ShiftLevel,4495,4137,4384,1,1,11,3,93,201205,5,2012,4,2013,7,2013,3,14,8.7,6.0,8.7,6.0,2.1579770059,1.7868323562,4
427,10020,201310,201303,SHORT ShiftLevel,3562,4210,3563,1,1,11,3,93,201205,5,2012,3,2013,10,2013,7,17,15.4,15.4,15.4,15.4,2.7338429557,2.7322985538,4
428,10020,201310,201304,SHORT ShiftLevel,3380,4210,3561,1,1,11,3,93,201205,5,2012,4,2013,10,2013,6,17,19.7,15.4,19.7,15.4,2.9813779601,2.735384976,4
434,10020,201311,201302,SHORT ShiftLevel,3318,4420,3604,1,1,11,3,93,201205,5,2012,2,2013,11,2013,9,18,24.9,18.5,24.9,18.5,3.2161572006,2.9156895659,4
