"Fiscal_Year","Oct_Total","Oct_Internet","Nov_Total","Nov_Internet","Dec_Total","Dec_Internet","Jan_Total","Jan_Internet","Feb_Total","Feb_Internet","Mar_Total","Mar_Internet","Apr_Total","Apr_Internet","May_Total","May_Internet","June_Total","June_Internet","July_Total","July_Internet","August_Total","August_Internet","Sept_Internet","Sept_Total"
"FY08",176407,15082,204287,17301,151687,14321,162966,18391,228623,26034,190716,21064,194403,22372,226549,26337,193094,22551,181552,22728,245429,30580,24141,186750
"FY09",244781,32578,181161,25620,176107,27174,249062,57908,221368,50408,235360,53592,234304,53675,281343,65822,237329,54285,285172,66565,240611,54915,52687,228692
"FY10",286598,65533,213297,50098,198733,44512,265665,68843,225319,58465,243266,62198,298065,76573,239409,65780,231964,67163,300442,92957,248284,75535,73403,238965
"FY11",299033,92856,209553,63424,215239,62877,264286,84944,223625,71314,246630,77916,300359,94722,241673,77603,233351,79925,292949,105276,237555,86514,103564,280913
"FY12",227456,86811,200140,71175,254766,91424,221146,85848,228519,83576,299267,112104,233685,88330,239503,93826,284136,113613,221745,91323,298458,119795,93375,230648
"FY13",224624,92542,249910,107053,188183,79719,199588,93703,219604,101878,285923,129415,224804,101619,269955,123440,223238,104146,204072,98326,281828,135423,104270,214004
"FY14",206471,98400,237621,117934,175607,83377,240969,125320,205737,108384,219696,114993,218172,112417,258726,134714,213389,110227,198484,106013,265979,139000,107284,203384
"FY15",254294,133740,178697,96718,171692,89619,234028,129482,190813,101896,204066,103498,205507,101537,249685,122196,204307,99831,241198,124923,203770,103558,98872,192635
"FY16",244599,125971,174105,90199,169912,85147,219367,118587,189174,99166,192076,98015,243558,125640,193897,100320,181050,94258,228531,121544,191747,100290,96916,181097
"FY17",173396,90325,161320,85626,200515,103867,174204,95761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
