germ	lingwistyka	u(germ)	u(ling)
100	96.75	1	2
93.5	96.2	2	1
92.95	94.7	2	1
90.76	93.4	2	1
89.63	92.45	2	1
89.52	91.75	2	1
88.67	91.66	2	1
88.46	91.6	2	1
87.59	91.4	2	1
87.44	91.31	2	1
87.37	91.18	2	1
87.31	91.16	2	1
86.67	90.98	2	1
86.2	90.79	2	1
85.79	90.57	2	1
85.46	90.3	2	1
85.05	90.3	2	1
84.94	90.14	2	1
84.67	89.73	2	1
84.67	89.63	2	1
84.6	89.6	2	1
84.59	89.53	2	1
84.44	89.52	2	1
84.24	89.51	2	1
84.14	89.45	2	1
84.13	89.37	2	1
84	89.35	2	1
83.89	89.19	2	1
83.63	89	2	1
83.4	88.78	2	1
83.4	88.77	2	1
83.34	88.63	2	1
83.29	88.57	2	1
83.19	88.41	2	1
83	88.2	2	1
82.83	88.18	2	1
82.49	88.04	2	1
82.48	88	2	1
82.3	88	2	1
82.13	87.96	2	1
81.95	87.84	2	1
81.87	87.8	2	1
81.83	87.74	2	1
81.78	87.59	2	1
81.56	87.41	2	1
81.49	87.4	2	1
81.43	87.36	2	1
81.39	87.36	2	1
81.29	87.31	2	1
81.15	87.3	2	1
81.1	87.28	2	1
81.06	87.13	2	1
80.82	87.03	2	1
80.39	87	2	1
80.37	86.95	2	1
80.16	86.9	2	1
80.08	86.8	2	1
80.04	86.79	2	1
79.79	86.75	2	1
79.7	86.7	2	1
79.53	86.69	2	1
79.46	86.6	2	1
79.26	86.42	2	1
79.1	86.37	2	1
78.39	86.36	2	1
78.3	86.31	2	1
78.25	86.23	2	1
77.99	86.21	2	1
77.92	86.19	2	1
77.79	86.17	2	1
77.67	86.16	2	1
77.23	86.13	2	1
76.86	86.04	2	1
76.85	86	2	1
76.54	85.95	2	1
76.53	85.91	2	1
76.45	85.85	2	1
76.41	85.77	2	1
76.01	85.75	2	1
75.83	85.73	2	1
75.71	85.73	2	1
75.69	85.73	2	1
75.17	85.72	2	1
74.71	85.69	2	1
74.69	85.66	2	1
74.68	85.66	2	1
74.59	85.63	2	1
74.4	85.63	2	1
74.39	85.63	2	1
74.34	85.61	2	1
74.26	85.6	2	1
74.1	85.53	2	1
73.93	85.5	2	1
73.79	85.29	2	1
73.66	85.24	2	1
73.49	85.14	2	1
73.43	85.14	2	1
72.71	85.06	2	1
72.7	85.05	2	1
72.66	85.05	2	1
72.37	85.05	2	1
72.15	85.03	2	1
72.04	84.94	2	1
71.93	84.85	2	1
71.41	84.84	2	1
71.33	84.8	2	1
71.13	84.78	2	1
70.99	84.75	2	1
70.92	84.74	2	1
70.91	84.7	2	1
70.59	84.67	2	1
70.5	84.6	2	1
70.46	84.6	2	1
70.41	84.35	2	1
70.25	84.32	2	1
70.05	84.25	2	1
69.98	84.22	2	1
69.96	84.13	2	1
69.86	84.13	2	1
69.55	84.03	2	1
69.3	83.96	2	1
69.15	83.92	2	1
69	83.69	2	1
68.86	83.65	2	1
68.73	83.65	2	1
68.52	83.58	2	1
67.85	83.53	2	1
67.61	83.51	2	1
67.6	83.51	2	1
67.56	83.46	2	1
67.48	83.42	2	1
67.43	83.42	2	1
67.38	83.39	2	1
67.35	83.36	2	1
67.26	83.35	2	1
67.25	83.34	2	1
67.15	83.31	2	1
66.97	83.28	2	1
66.97	83.25	2	1
66.71	83.25	2	1
66.42	83.24	2	1
66.31	83.17	2	1
66.29	83.15	2	1
66.12	83.13	2	1
65.49	83.12	2	1
65.31	83.09	2	1
65.25	83.03	2	1
65.21	82.96	2	1
65.05	82.94	2	1
64.85	82.92	2	1
64.78	82.67	2	1
63.81	82.66	2	1
63.73	82.66	2	1
63.64	82.57	2	1
