Year,Population,Metro Area
2016-12-31 00:00:00,11970744,"New York-Wayne-White Plains, NY-NJ"
2015-12-31 00:00:00,11956027,"New York-Wayne-White Plains, NY-NJ"
2017-12-31 00:00:00,11941540,"New York-Wayne-White Plains, NY-NJ"
2014-12-31 00:00:00,11914446,"New York-Wayne-White Plains, NY-NJ"
2018-12-31 00:00:00,11907010,"New York-Wayne-White Plains, NY-NJ"
2013-12-31 00:00:00,11863884,"New York-Wayne-White Plains, NY-NJ"
2012-12-31 00:00:00,11797077,"New York-Wayne-White Plains, NY-NJ"
2009-12-31 00:00:00,11732233,"New York-Wayne-White Plains, NY-NJ"
2011-12-31 00:00:00,11705398,"New York-Wayne-White Plains, NY-NJ"
2008-12-31 00:00:00,11664856,"New York-Wayne-White Plains, NY-NJ"
2007-12-31 00:00:00,11614900,"New York-Wayne-White Plains, NY-NJ"
2010-12-31 00:00:00,11576251,"New York-Wayne-White Plains, NY-NJ"
2006-12-31 00:00:00,11554923,"New York-Wayne-White Plains, NY-NJ"
2005-12-31 00:00:00,11528443,"New York-Wayne-White Plains, NY-NJ"
2004-12-31 00:00:00,11489578,"New York-Wayne-White Plains, NY-NJ"
2003-12-31 00:00:00,11445977,"New York-Wayne-White Plains, NY-NJ"
2002-12-31 00:00:00,11413206,"New York-Wayne-White Plains, NY-NJ"
2001-12-31 00:00:00,11377466,"New York-Wayne-White Plains, NY-NJ"
2000-12-31 00:00:00,11309941,"New York-Wayne-White Plains, NY-NJ"
1971-12-31 00:00:00,11053200,"New York-Wayne-White Plains, NY-NJ"
1970-12-31 00:00:00,11042337,"New York-Wayne-White Plains, NY-NJ"
1972-12-31 00:00:00,10980400,"New York-Wayne-White Plains, NY-NJ"
1973-12-31 00:00:00,10812900,"New York-Wayne-White Plains, NY-NJ"
1974-12-31 00:00:00,10706200,"New York-Wayne-White Plains, NY-NJ"
1999-12-31 00:00:00,10607535,"New York-Wayne-White Plains, NY-NJ"
1975-12-31 00:00:00,10596800,"New York-Wayne-White Plains, NY-NJ"
1998-12-31 00:00:00,10569827,"New York-Wayne-White Plains, NY-NJ"
1997-12-31 00:00:00,10537205,"New York-Wayne-White Plains, NY-NJ"
1976-12-31 00:00:00,10520300,"New York-Wayne-White Plains, NY-NJ"
1996-12-31 00:00:00,10501888,"New York-Wayne-White Plains, NY-NJ"
1995-12-31 00:00:00,10478949,"New York-Wayne-White Plains, NY-NJ"
