date;l_productivity;l_real_wage;unemployment
1967q1;5,197575719;5,1604933;3,833333333
1967q2;5,201816713;5,170691125;3,833333333
1967q3;5,205808734;5,174185014;3,8
1967q4;5,209302623;5,176681895;3,9
1968q1;5,23204211;5,193784803;3,733333333
1968q2;5,241744886;5,200263769;3,566666667
1968q3;5,241494855;5,203009994;3,533333333
1968q4;5,239743321;5,210482009;3,4
1969q1;5,247463445;5,211980885;3,4
1969q2;5,239431273;5,21248076;3,433333333
1969q3;5,239931148;5,216721755;3,566666667
1969q4;5,235672091;5,220713776;3,566666667
1970q1;5,238418317;5,222711779;4,166666667
1970q2;5,253799419;5,224709781;4,766666667
1970q3;5,269426675;5,230691853;5,166666667
1970q4;5,260890344;5,226181697;5,833333333
1971q1;5,290691835;5,238357273;5,933333333
1971q2;5,294185724;5,243842204;5,9
1971q3;5,303145465;5,24758519;6,033333333
1971q4;5,295365278;5,247085065;5,933333333
1972q1;5,309514701;5,265906819;5,766666667
1972q2;5,33029724;5,271143086;5,7
1972q3;5,335782171;5,276379353;5,566666667
1972q4;5,343998325;5,284843431;5,366666667
1973q1;5,366737812;5,295288689;4,933333333
1973q2;5,367737313;5,288515805;4,933333333
1973q3;5,3581919;5,28626327;4,8
1973q4;5,351670683;5,281250728;4,766666667
1974q1;5,34966868;5,274477843;5,133333333
1974q2;5,34716555;5,273977718;5,2
1974q3;5,336610036;5,275476595;5,633333333
1974q4;5,345569777;5,272472086;6,6
1975q1;5,353537947;5,281184026;8,266666667
1975q2;5,370395064;5,290391507;8,866666667
1975q3;5,381829442;5,287888377;8,466666667
1975q4;5,382828942;5,285886374;8,3
1976q1;5,397717555;5,293358389;7,733333333
1976q2;5,40742033;5,30330872;7,566666667
1976q3;5,409168801;5,308296261;7,733333333
1976q4;5,412413531;5,315023582;7,766666667
1977q1;5,418395602;5,315523457;7,5
1977q2;5,422636597;5,318269683;7,133333333
1977q3;5,432586927;5,323754613;6,9
1977q4;5,420008145;5,326251493;6,666666667
1978q1;5,420757864;5,34458245;6,333333333
1978q2;5,440805559;5,334279557;6
1978q3;5,440805559;5,331525769;6,033333333
1978q4;5,447284526;5,335268755;5,9
1979q1;5,43849602;5,341996076;5,866666667
1979q2;5,435742231;5,337737019;5,7
1979q3;5,434741731;5,334481726;5,866666667
1979q4;5,433741231;5,334481726;5,966666667
1980q1;5,438479985;5,331727938;6,3
1980q2;5,427671786;5,333476408;7,333333333
1980q3;5,430916516;5,333726377;7,666666667
1980q4;5,442103706;5,337718398;7,4
1981q1;5,459206614;5,335966865;7,433333333
1981q2;5,446880964;5,335216584;7,4
1981q3;5,455345042;5,33671546;7,4
1981q4;5,443525466;5,334462925;8,233333333
1982q1;5,436500851;5,347625911;8,833333333
1982q2;5,438498853;5,345874378;9,433333333
1982q3;5,440496856;5,344623597;9,9
1982q4;5,449704337;5,347868327;10,66666667
1983q1;5,463114024;5,352855868;10,36666667
1983q2;5,48658638;5,351354742;10,13333333
1983q3;5,493810225;5,347346721;9,366666667
1983q4;5,498797766;5,348346221;8,533333333
1984q1;5,500546237;5,347345721;7,866666667
1984q2;5,506776787;5,347595689;7,433333333
1984q3;5,511017781;5,354074656;7,433333333
1984q4;5,5117675;5,35357453;7,3
1985q1;5,51351597;5,357317517;7,233333333
1985q2;5,51700986;5,358317017;7,3
1985q3;5,529926085;5,366781096;7,2
1985q4;5,53441599;5,375988576;7,033333333
1986q1;5,546344561;5,385443735;7,033333333
1986q2;5,554064684;5,402300852;7,166666667
1986q3;5,558803438;5,409028173;6,966666667
1986q4;5,556300308;5,415258723;6,833333333
1987q1;5,551538991;5,40898911;6,6
1987q2;5,558762836;5,405984601;6,266666667
1987q3;5,559012805;5,406734319;6
1987q4;5,567724746;5,410477306;5,833333333
1988q1;5,571218635;5,421169935;5,7
1988q2;5,573964861;5,422419155;5,466666667
1988q3;5,57696037;5,423168874;5,466666667
1988q4;5,580952391;5,421166871;5,333333333
1989q1;5,579701609;5,415400276;5,2
1989q2;5,583444595;5,40383364;5,233333333
1989q3;5,588680862;5,405332516;5,233333333
1989q4;5,588930831;5,410568783;5,366666667
1990q1;5,597394909;5,414809777;5,3
1990q2;5,605115032;5,425007602;5,333333333
1990q3;5,608110541;5,421250553;5,7
1990q4;5,59957421;5,413470366;6,133333333
1991q1;5,60207109;5,415468368;6,6
1991q2;5,618436444;5,429617791;6,833333333
1991q3;5,625660289;5,435102722;6,866666667
1991q4;5,631642361;5,441084793;7,1
1992q1;5,651444988;5,461377497;7,366666667
1992q2;5,659909067;5,463874377;7,6
1992q3;5,669116548;5,469607909;7,633333333
1992q4;5,675347097;5,469107784;7,366666667
1993q1;5,66756691;5,455008859;7,133333333
1993q2;5,661800315;5,455508734;7,066666667
1993q3;5,663798318;5,452002595;6,8
1993q4;5,669034585;5,453251814;6,633333333
1994q1;5,672777571;5,44421107;6,566666667
1994q2;5,672777571;5,446957295;6,2
1994q3;5,667513741;5,439177108;6
1994q4;5,679442312;5,442421838;5,633333333
1995q1;5,679442312;5,442671807;5,466666667
1995q2;5,684429854;5,442421776;5,666666667
1995q3;5,684179822;5,443171495;5,666666667
1995q4;5,690658788;5,446914481;5,566666667
1996q1;5,696143719;5,45040837;5,533333333
1996q2;5,706341544;5,450658339;5,5
1996q3;5,710333565;5,452905811;5,266666667
